Frequency,T0Magnitude,T1Magnitude,T2Magnitude,T3Magnitude,T4Magnitude,T5Magnitude
612500000000,-4.121190266,2.045327653,2.280567609,2.280567609,1.489576048,1.535606163
613125000000,-9.176808189,7.468766195,8.258293491,8.258293491,5.399934597,5.514463856
613750000000,-4.428269858,0.582679673,0.594111438,0.594111438,0.840483712,0.823298363
614375000000,-9.39003408,-0.38030275,-0.363170983,-0.363170983,-0.33331031,-0.324616137
615000000000,-12.90158072,1.729318623,2.013737196,2.013737196,1.252287206,1.288909317
615625000000,0.367627937,3.111408538,3.592519016,3.592519016,3.138052308,3.288519849
616250000000,4.8248003,-2.110050138,-2.362180328,-2.362180328,-0.742400826,-0.547381638
616875000000,-4.085148426,-2.281509864,-2.297965612,-2.297965612,-2.371904863,-2.177808478
617500000000,3.948124902,-1.746941516,-1.371739625,-1.371739625,-1.651903124,-2.157896801
618125000000,5.118867084,1.154281507,2.108657573,2.108657573,0.602510312,0.35505688
618750000000,1.964256935,4.899163109,3.878555228,3.878555228,3.564455853,2.431347668
619375000000,-2.417241199,9.849373967,10.62320259,10.62320259,4.66555698,8.450409643
620000000000,-3.479964487,1.688073734,1.355892739,1.355892739,1.645168452,1.397943212
620625000000,-2.499938419,1.779296194,1.64275621,1.64275621,2.020234582,2.022726379
621250000000,-2.534932355,1.910482238,1.533934756,1.533934756,2.505326865,2.480747188
621875000000,-4.88200048,1.10521901,0.230932203,0.230932203,2.736702557,2.743936291
622500000000,-5.861271419,-4.575121054,-5.578115472,-5.578115472,-3.675217778,-3.614940185
623125000000,-1.050747185,0.061812694,0.624380008,0.624380008,-1.504458165,-1.818842783
623750000000,2.67184837,3.17399031,3.781465162,3.781465162,2.212494808,2.156552014
624375000000,0.564500929,0.608916064,0.66884469,0.66884469,0.50555285,0.508559189
625000000000,1.774556997,1.295986862,1.401676784,1.401676784,1.113445321,1.106246203
625625000000,-6.124574429,-6.547585351,-6.754697091,-6.754697091,-6.023873668,-5.844270493
